Sr_No,File_Name,Text_Length,Status,Raw_Text_Preview
1,AJMER-RAJASTHAN.pdf,2576,success,"= Electricity Consumption Bill(Consumer Copy) PAN No. ,GSTIN.:-O8AACCA8562E1ZP,HSN CODE.:-2716 SDO C..."
2,Bihar.pdf,2463,success,साउथ बिहार पॉवर डिस्ट्रीब्यूशन कम्पनी लिमिटेड विन रर विद्युत बिल बिल राशि 3526.00 का ऑनलाइन भुगतान त...
3,DAKSHIN-HARIYANA.pdf,4645,success,=== Page 1 === DAKSHIN HARYANA BIJLI VITRAN NIGAM | (A Govt. of Haryana Undertaking) ಗ್‌ ಜಿ Website:...
4,Goregoan.pdf,8829,success,=== Page 1 === 9 BILL OF SUPPLY enim] ೦೦೦೧ QR code for 90911 | GO ae ् 12027 kiosk payment Electrici...
5,Gulbarga-Karnataka .jpg,806,success,© ತರ್‌.ಆರ್‌.ಸಂಖ್ಯೆ...0೧0710/26679 |. — ಶ್ರಾಹಕರಣ.ಡಿ 8526272564 3) पु ena Sig ee ae en =I a rier ಇ 4 ಪ...
6,Gulbarga-Karnataka-1.jpg,1073,success,टर Gulbarga Electricity Supply Company Limited ನವು GESCOM GSTN No: 29AABCG8895R1ZD Office of the Ass...
7,Hubli-Karnataka .jpg,1046,success,८2 ೫ ಸ » ಕ abo cl ಇ ನ? द coe Gap Hubli Electricity Supply Company Limited ತಾ 8 रे ಡಾ ಜಾ : HESCOM GST...
8,Hubli-Karnataka.jpg,1263,success,कळया ವಿದ್ಯುತ್‌ ಸರಬರಾಜು ಕಂಪನಿ ನಿಯಮಿತ 661.110. 29AABCH3176JEZZ “a (501. HUBLI. ii ಆರ್‌.ಆರ್‌ ನಂಬರ್‌/ನ81...
9,Karnataka-Bescom.pdf,86,success,"ग्रे Che Sioa ng fea ಇ 1 (1
| ae ಗ On lod Lo: ಓಓ
ಒಬಿ ಯ. PAPAIN TUT ಓಟಿ!18(11110(/ €&|।"
10,Maglore-Karnataka .jpg,1453,success,1) शिकत ಸ್ಮ ७० ७०६७०७० ४०१० 905४0 | ವಿದ್ಯುತ Hers /eigetieity Bill 11/1] ೮511/:204/0೧11102911128 000४...
11,Maharastra.pdf,8743,success,"=== Page 1 === 17/05/2024, 10:21 LT E-Bill महावितरण महाराष्ट्र स्टेट इलेक्ट्रिसिटी डिस्ट्रीब्यूशन कं..."
12,Multiple-Meters.pdf,2100,success,ALY Oa (/#\\\ West Bengal State Electricity Distribution Company Ltd. i 4 (A Government of West Beng...
13,North-Bihar.pdf,2517,success,NBI उत्तर बिहार पावर डिस्टीब्यूशन कम्पनी लिमिटेड = विद्युत बिल . an GSTIN: 10AAECN1588M2ZB Wise / as...
14,PASHIMANCHAL-UTTAR-HARIYANA.jpg,2518,success,"@ जे PASHCHIMANCHAL VIDYUT VITRAN NIGAM LIMITED “हर बोट है जरूरी, मतदाता के रूप में आज ही पंजीकरण we..."
15,pUNJAB.pdf,2642,success,"=== Page 1 === 5/8/24, 1:03 PM PSPCL Bill 3007647081 due on 2024-MAY-20 dara Hee weg बातयेताम्तठ ಗಣಿ..."
16,TPCODL-ORISSA.pdf,6330,success,=== Page 1 === TPC@DL Nothing like Voting; ® CONTACT US TP CENTRAL ODISHA DISTRIBUTION LIMITED | Vot...
17,Uttar-Gujarat.pdf,2242,success,"Uttar Gujarat Vij Company Limited 1 Gp & C office, Visnagar Road, Mehsana-384001 ಈ www.ugvcl.com cor..."
18,Uttar-Hariyana.pdf,1746,success,"UTTAR HARYANA (11/1 | 111100 1111111"" ELECTRICITY BIL DATE 111 0b 2024 TIME :09: 20:41 SAW (111 NO :..."
19,Uttarakhand.pdf,3895,success,UTTARAKHAND POWER CORPORATION LIMITED ELECTRICITY BILL AND DISCONNECTION 010 ag PER ELECTRICITY ACT ...
20,Uttarpradesh-Purvanchal.pdf,4656,success,"4 में आज पंजीकरण करवायें "" Same ५ 3 PURVANCHAL VIDYUT VITRAN NIGAM LIMITED ""हर वोट है जरूरी, मतदाता ..."
21,Uttarpradesh.jpeg,1071,success,"_"" eer ke Ne DVVNL | DAKSHINANCHAL | VIDYUT VITARAN NIGAM LTD ELECTRICITY BILL Pay your bil] online ..."
